,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,method
Nerul,28.301785286679372,24.858620792317783,27.272621930222044,20.57850635735136,18.90652665918065,19.875434983573786,0.6099407672549317,0.6734023797237131,0.6104706438321439,spatial_average
Nerul,27.054349868950915,24.1822375210496,26.917377785253844,18.562668231713236,16.70161302737958,19.011115651719916,0.42234959956724094,0.47484513868286005,0.47061022422338306,statistical_mean
Airport,10.054925958047356,9.85141107906499,9.773788226714197,7.020527381665085,6.705152637960897,6.698613848950963,0.8217548774265468,0.8123883365507816,0.8150394569547881,statistical_mean
Mulund,21.70277154378351,22.057667241527607,20.474119315657845,14.9043926410387,14.536223801353811,13.96940428366762,0.38038576638665844,0.3656512209918237,0.3966933898430387,statistical_mean
Mahape,25.623501750695798,23.796853923964253,26.992205727421943,17.40871771144674,16.35437520061652,17.643686395277342,0.707605527993008,0.7536534628481368,0.6991702829260418,statistical_mean
Kurla,34.322578718045946,29.850628778718292,36.14350672872407,22.11137768498553,21.656303102577105,22.21669069934297,0.4459529145754181,0.517229397135106,0.3737727722706755,statistical_mean
Vileparle,20.479400571720234,18.928716219592232,20.099205614923672,14.930130510982547,14.208603369516009,14.602607280301733,0.6994344393855427,0.7187414838061712,0.7212788225046567,statistical_mean
Colaba,15.394034808732657,13.991915850613193,18.44750108636813,10.113436664748129,9.758471979013903,11.287574190117422,0.20753020801091537,0.30798371912264344,0.02247866738069937,statistical_mean
Sion,20.74865489504772,20.664845609683248,20.68297464173303,15.037644691703061,15.041257866722122,15.427753640285667,0.6793583995398481,0.6779134154567044,0.6607649864810203,statistical_mean
Borivali,23.842596438458767,24.954656864347307,23.673518464265594,16.771532773133504,16.94213190450308,16.78015078781338,0.5162459138052493,0.5180224663423507,0.5183514071854121,statistical_mean
Bandra,16.561961957584014,26.240783976619934,12.205735474932277,7.112895817447241,7.812661278478695,7.2849508229306945,0.24763980126687413,0.12251134316451762,0.41797487185215143,statistical_mean
Kandivali,18.580324318619585,21.173470082087572,23.12563688686586,11.98452376124582,12.502912160035699,11.764886354696182,0.7400371244176663,0.6321900978425263,0.5912889346789392,statistical_mean
Worli,20.80704737221549,20.870283804965563,23.06907146688091,14.882679222331442,15.074581459396239,15.160372138961034,0.6439060146371156,0.6309814679174113,0.5896347722662152,statistical_mean
Powai,20.349185433472616,20.231500354889405,20.273382442616835,15.711671261652974,15.56553458737862,15.711091399996437,0.5766296506582514,0.5995316748690789,0.5600034482623126,statistical_mean
Powai,20.28814723565016,20.215203841100983,20.20066995965245,15.688088058002085,15.545139764704139,15.719530695228718,0.5793463679567745,0.6003352967536179,0.5634040820882509,statistical_median
Nerul,26.867603354957915,23.9540397731048,26.7070539996141,18.385628114267544,16.53190598776747,18.812281278199077,0.4313569585373226,0.48510673864582443,0.47873833233943486,statistical_median
Kurla,34.17629794661895,29.63192209435462,35.98896948783552,21.943679195918254,21.436793908071174,22.032144158969007,0.4517467159982761,0.525564345458383,0.380212532721922,statistical_median
Airport,9.952319631880636,9.801746194125036,9.768525819053057,6.991440420982707,6.702809036310677,6.710150551774014,0.825629810785451,0.8146130807532902,0.8154012664190313,statistical_median
Kandivali,18.6185271572777,21.34487145134441,23.136027636908054,12.189733499516933,12.710381320984432,11.983631189424923,0.7412354120960695,0.629791617536501,0.5974499358141468,statistical_median
Worli,20.732933763372284,20.813799295277562,22.905550216782203,14.935610219119834,15.10914891022211,15.153145712780141,0.6475796485363634,0.6342483161173533,0.5969660382194026,statistical_median
Colaba,15.367456385495984,13.92450260827296,18.50699972724247,10.132401918385906,9.792181664824778,11.313641411621035,0.21417118751942044,0.31883185242062806,0.022183857377279792,statistical_median
Bandra,16.622089182268247,26.34399565670513,12.32028506960542,7.313994437397163,8.072535666826965,7.51277063511707,0.24219333277458188,0.1161992131820736,0.40796974371052674,statistical_median
Sion,20.548399288118045,20.4606971250646,20.437446424973196,14.898281151133482,14.905381832972152,15.258785327018613,0.6856058058327805,0.6843419501356489,0.6688469746863085,statistical_median
Mulund,21.246154367523513,21.66595701420878,19.894785329674374,15.102671820624403,14.822446018795025,14.187134589432857,0.4120654981938229,0.3968852626738647,0.4356185151207119,statistical_median
Mahape,25.572361687152956,23.781734754333918,26.99843542105028,17.298986379121988,16.284458600196757,17.58706365751274,0.709312802037682,0.7541564164965364,0.6996677773147317,statistical_median
Vileparle,20.497838970943214,19.012961266194917,20.104807519107617,14.981044763811232,14.332323309133953,14.684928619954231,0.699514449978416,0.7167492208922563,0.7216460292519452,statistical_median
